     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.50000,0.20000,0.10000,0.00000,0.20000,0.0438812
0.35000,0.35000,0.05000,0.05000,0.20000,0.0243949
0.30000,0.25000,0.20000,0.20000,0.05000,0.0762034
0.35000,0.20000,0.15000,0.30000,0.00000,0.0657415
0.30000,0.40000,0.10000,0.00000,0.20000,0.0288501
0.40000,0.05000,0.25000,0.25000,0.05000,0.0804377
0.45000,0.20000,0.00000,0.10000,0.25000,0.0179591
0.40000,0.00000,0.10000,0.50000,0.00000,0.0469231
0.40000,0.15000,0.10000,0.15000,0.20000,0.0465897
0.45000,0.05000,0.35000,0.00000,0.15000,0.0904559
0.35000,0.10000,0.35000,0.10000,0.10000,0.1039793
0.55000,0.00000,0.20000,0.25000,0.00000,0.0591468
0.75000,0.00000,0.00000,0.25000,0.00000,0.0153935
0.60000,0.25000,0.10000,0.00000,0.05000,0.0477310
0.60000,0.00000,0.30000,0.10000,0.00000,0.0603149
0.55000,0.15000,0.10000,0.05000,0.15000,0.0481624
0.65000,0.15000,0.15000,0.05000,0.00000,0.0555408
0.90000,0.00000,0.10000,0.00000,0.00000,0.0096239
0.35000,0.05000,0.15000,0.45000,0.00000,0.0668520
0.50000,0.05000,0.20000,0.15000,0.10000,0.0642066
0.40000,0.25000,0.25000,0.10000,0.00000,0.0809186
0.45000,0.00000,0.10000,0.00000,0.45000,0.0417809
0.45000,0.45000,0.00000,0.10000,0.00000,0.0153048
0.50000,0.20000,0.05000,0.25000,0.00000,0.0366556
0.35000,0.00000,0.15000,0.00000,0.50000,0.0454356
0.35000,0.35000,0.05000,0.00000,0.25000,0.0165977
0.30000,0.25000,0.20000,0.15000,0.10000,0.0718561
0.35000,0.20000,0.15000,0.25000,0.05000,0.0642409
0.30000,0.40000,0.05000,0.25000,0.00000,0.0455057
0.40000,0.05000,0.25000,0.20000,0.10000,0.0817431
0.40000,0.00000,0.10000,0.45000,0.05000,0.0502658
0.45000,0.20000,0.00000,0.05000,0.30000,0.0134716
0.40000,0.15000,0.10000,0.10000,0.25000,0.0411990
0.45000,0.05000,0.30000,0.20000,0.00000,0.0882728
0.55000,0.00000,0.20000,0.20000,0.05000,0.0618418
0.35000,0.10000,0.35000,0.05000,0.15000,0.1020734
0.75000,0.00000,0.00000,0.20000,0.05000,0.0228905
0.60000,0.25000,0.05000,0.10000,0.00000,0.0324319
0.60000,0.00000,0.30000,0.05000,0.05000,0.0612759
0.55000,0.15000,0.10000,0.00000,0.20000,0.0469871
0.65000,0.15000,0.15000,0.00000,0.05000,0.0612847
0.90000,0.00000,0.05000,0.05000,0.00000,0.0149400
0.35000,0.05000,0.15000,0.40000,0.05000,0.0612662
0.45000,0.00000,0.05000,0.50000,0.00000,0.0334236
0.40000,0.25000,0.25000,0.05000,0.05000,0.0800696
0.50000,0.05000,0.20000,0.10000,0.15000,0.0673703
0.35000,0.00000,0.10000,0.55000,0.00000,0.0531044
0.45000,0.45000,0.00000,0.05000,0.05000,0.0114874
0.50000,0.20000,0.05000,0.20000,0.05000,0.0336396
0.35000,0.35000,0.00000,0.30000,0.00000,0.0382264
0.30000,0.25000,0.20000,0.10000,0.15000,0.0714479
0.35000,0.20000,0.15000,0.20000,0.10000,0.0612873
0.30000,0.40000,0.05000,0.20000,0.05000,0.0392810
0.40000,0.05000,0.25000,0.15000,0.15000,0.0808335
0.40000,0.00000,0.10000,0.40000,0.10000,0.0466383
0.45000,0.20000,0.00000,0.00000,0.35000,0.0119250
0.40000,0.15000,0.10000,0.05000,0.30000,0.0384738
0.45000,0.05000,0.30000,0.15000,0.05000,0.0853798
0.75000,0.00000,0.00000,0.15000,0.10000,0.0333726
0.55000,0.00000,0.20000,0.15000,0.10000,0.0612442
0.35000,0.10000,0.35000,0.00000,0.20000,0.1031849
0.60000,0.00000,0.30000,0.00000,0.10000,0.0587187
0.60000,0.25000,0.05000,0.05000,0.05000,0.0346381
0.55000,0.15000,0.05000,0.25000,0.00000,0.0351374
0.65000,0.15000,0.10000,0.10000,0.00000,0.0452092
0.90000,0.00000,0.05000,0.00000,0.05000,0.0442557
0.45000,0.00000,0.05000,0.45000,0.05000,0.0350373
0.35000,0.05000,0.15000,0.35000,0.10000,0.0629695
0.40000,0.25000,0.25000,0.00000,0.10000,0.0812174
0.50000,0.05000,0.20000,0.05000,0.20000,0.0660811
0.35000,0.00000,0.10000,0.50000,0.05000,0.0524836
0.45000,0.45000,0.00000,0.00000,0.10000,0.0078228
0.50000,0.20000,0.05000,0.15000,0.10000,0.0347491
0.35000,0.35000,0.00000,0.25000,0.05000,0.0323551
0.30000,0.25000,0.20000,0.05000,0.20000,0.0652092
0.35000,0.20000,0.15000,0.15000,0.15000,0.0560860
0.30000,0.40000,0.05000,0.15000,0.10000,0.0332585
0.45000,0.15000,0.40000,0.00000,0.00000,0.1060602
0.40000,0.05000,0.25000,0.10000,0.20000,0.0779819
0.40000,0.00000,0.10000,0.35000,0.15000,0.0469156
0.40000,0.15000,0.10000,0.00000,0.35000,0.0359839
0.45000,0.05000,0.30000,0.10000,0.10000,0.0853435
0.75000,0.00000,0.00000,0.10000,0.15000,0.0417768
0.55000,0.00000,0.20000,0.10000,0.15000,0.0609937
0.60000,0.00000,0.25000,0.15000,0.00000,0.0615897
0.35000,0.10000,0.30000,0.25000,0.00000,0.0934079
0.60000,0.25000,0.05000,0.00000,0.10000,0.0368465
0.55000,0.15000,0.05000,0.20000,0.05000,0.0339552
0.65000,0.15000,0.10000,0.05000,0.05000,0.0502077
0.45000,0.00000,0.05000,0.40000,0.10000,0.0314325
0.35000,0.05000,0.15000,0.30000,0.15000,0.0598975
0.90000,0.00000,0.00000,0.10000,0.00000,0.0161602
0.40000,0.25000,0.20000,0.15000,0.00000,0.0686577
0.35000,0.00000,0.10000,0.45000,0.10000,0.0511166
0.50000,0.05000,0.20000,0.00000,0.25000,0.0644794
0.45000,0.40000,0.15000,0.00000,0.00000,0.0510224
0.35000,0.35000,0.00000,0.20000,0.10000,0.0243496
0.50000,0.20000,0.05000,0.10000,0.15000,0.0305573
0.30000,0.25000,0.20000,0.00000,0.25000,0.0610763
0.45000,0.15000,0.35000,0.05000,0.00000,0.0986955
0.30000,0.40000,0.05000,0.10000,0.15000,0.0265234
0.35000,0.20000,0.15000,0.10000,0.20000,0.0565103
0.40000,0.05000,0.25000,0.05000,0.25000,0.0772367
0.40000,0.00000,0.10000,0.30000,0.20000,0.0425895
0.40000,0.15000,0.05000,0.40000,0.00000,0.0428486
0.45000,0.05000,0.30000,0.05000,0.15000,0.0853833
0.75000,0.00000,0.00000,0.05000,0.20000,0.0496806
0.55000,0.00000,0.20000,0.05000,0.20000,0.0639392
0.60000,0.00000,0.25000,0.10000,0.05000,0.0656006
0.35000,0.10000,0.30000,0.20000,0.05000,0.0987116
0.60000,0.25000,0.00000,0.15000,0.00000,0.0236506
0.55000,0.15000,0.05000,0.15000,0.10000,0.0374104
0.65000,0.15000,0.10000,0.00000,0.10000,0.0545863
0.45000,0.00000,0.05000,0.35000,0.15000,0.0352607
0.35000,0.05000,0.15000,0.25000,0.20000,0.0604371
0.90000,0.00000,0.00000,0.05000,0.05000,0.0422282
0.40000,0.25000,0.20000,0.10000,0.05000,0.0697453
0.50000,0.05000,0.15000,0.30000,0.00000,0.0561133
